TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
CARVAJAL_1230_1300,54513,CARVAJAL,MÁLAGA,12:30 - 13:00,8,2
CARVAJAL_1300_1330,54513,CARVAJAL,MÁLAGA,13:00 - 13:30,10,25
CARVAJAL_1330_1400,54513,CARVAJAL,MÁLAGA,13:30 - 14:00,4,13
CARVAJAL_1400_1430,54513,CARVAJAL,MÁLAGA,14:00 - 14:30,13,9
CARVAJAL_1430_1500,54513,CARVAJAL,MÁLAGA,14:30 - 15:00,10,7
CARVAJAL_1500_1530,54513,CARVAJAL,MÁLAGA,15:00 - 15:30,10,24
CARVAJAL_1530_1600,54513,CARVAJAL,MÁLAGA,15:30 - 16:00,1,3
CARVAJAL_1600_1630,54513,CARVAJAL,MÁLAGA,16:00 - 16:30,11,17
CARVAJAL_1630_1700,54513,CARVAJAL,MÁLAGA,16:30 - 17:00,13,12
CARVAJAL_1700_1730,54513,CARVAJAL,MÁLAGA,17:00 - 17:30,7,15
CARVAJAL_1730_1800,54513,CARVAJAL,MÁLAGA,17:30 - 18:00,5,4
CARVAJAL_1800_1830,54513,CARVAJAL,MÁLAGA,18:00 - 18:30,16,15
CARVAJAL_1830_1900,54513,CARVAJAL,MÁLAGA,18:30 - 19:00,5,8
CARVAJAL_1900_1930,54513,CARVAJAL,MÁLAGA,19:00 - 19:30,7,24
CARVAJAL_1930_2000,54513,CARVAJAL,MÁLAGA,19:30 - 20:00,0,7
CARVAJAL_2000_2030,54513,CARVAJAL,MÁLAGA,20:00 - 20:30,4,15
CARVAJAL_2030_2100,54513,CARVAJAL,MÁLAGA,20:30 - 21:00,0,8
CARVAJAL_2100_2130,54513,CARVAJAL,MÁLAGA,21:00 - 21:30,1,15
CARVAJAL_2130_2200,54513,CARVAJAL,MÁLAGA,21:30 - 22:00,5,5
CARVAJAL_2200_2230,54513,CARVAJAL,MÁLAGA,22:00 - 22:30,1,4
CARVAJAL_2230_2300,54513,CARVAJAL,MÁLAGA,22:30 - 23:00,1,3
CARVAJAL_2300_2330,54513,CARVAJAL,MÁLAGA,23:00 - 23:30,0,3
CARVAJAL_2330_0000,54513,CARVAJAL,MÁLAGA,23:30 - 00:00,1,4
TORREBLANCA_0000_0030,54514,TORREBLANCA,MÁLAGA,00:00 - 00:30,2,6
TORREBLANCA_0600_0630,54514,TORREBLANCA,MÁLAGA,06:00 - 06:30,4,2
TORREBLANCA_0630_0700,54514,TORREBLANCA,MÁLAGA,06:30 - 07:00,16,3
TORREBLANCA_0700_0730,54514,TORREBLANCA,MÁLAGA,07:00 - 07:30,20,4
TORREBLANCA_0730_0800,54514,TORREBLANCA,MÁLAGA,07:30 - 08:00,15,13
TORREBLANCA_0800_0830,54514,TORREBLANCA,MÁLAGA,08:00 - 08:30,37,8
TORREBLANCA_0830_0900,54514,TORREBLANCA,MÁLAGA,08:30 - 09:00,22,6
TORREBLANCA_0900_0930,54514,TORREBLANCA,MÁLAGA,09:00 - 09:30,40,15
TORREBLANCA_0930_1000,54514,TORREBLANCA,MÁLAGA,09:30 - 10:00,35,5
TORREBLANCA_1000_1030,54514,TORREBLANCA,MÁLAGA,10:00 - 10:30,69,15
TORREBLANCA_1030_1100,54514,TORREBLANCA,MÁLAGA,10:30 - 11:00,29,2
TORREBLANCA_1100_1130,54514,TORREBLANCA,MÁLAGA,11:00 - 11:30,30,9
TORREBLANCA_1130_1200,54514,TORREBLANCA,MÁLAGA,11:30 - 12:00,15,9
TORREBLANCA_1200_1230,54514,TORREBLANCA,MÁLAGA,12:00 - 12:30,22,15
TORREBLANCA_1230_1300,54514,TORREBLANCA,MÁLAGA,12:30 - 13:00,5,10
TORREBLANCA_1300_1330,54514,TORREBLANCA,MÁLAGA,13:00 - 13:30,28,35
TORREBLANCA_1330_1400,54514,TORREBLANCA,MÁLAGA,13:30 - 14:00,18,27
TORREBLANCA_1400_1430,54514,TORREBLANCA,MÁLAGA,14:00 - 14:30,29,46
TORREBLANCA_1430_1500,54514,TORREBLANCA,MÁLAGA,14:30 - 15:00,9,16
TORREBLANCA_1500_1530,54514,TORREBLANCA,MÁLAGA,15:00 - 15:30,25,29
TORREBLANCA_1530_1600,54514,TORREBLANCA,MÁLAGA,15:30 - 16:00,19,24
TORREBLANCA_1600_1630,54514,TORREBLANCA,MÁLAGA,16:00 - 16:30,25,25
TORREBLANCA_1630_1700,54514,TORREBLANCA,MÁLAGA,16:30 - 17:00,19,33
TORREBLANCA_1700_1730,54514,TORREBLANCA,MÁLAGA,17:00 - 17:30,35,27
TORREBLANCA_1730_1800,54514,TORREBLANCA,MÁLAGA,17:30 - 18:00,11,16
TORREBLANCA_1800_1830,54514,TORREBLANCA,MÁLAGA,18:00 - 18:30,16,36
TORREBLANCA_1830_1900,54514,TORREBLANCA,MÁLAGA,18:30 - 19:00,6,8
TORREBLANCA_1900_1930,54514,TORREBLANCA,MÁLAGA,19:00 - 19:30,10,43
TORREBLANCA_1930_2000,54514,TORREBLANCA,MÁLAGA,19:30 - 20:00,6,21
TORREBLANCA_2000_2030,54514,TORREBLANCA,MÁLAGA,20:00 - 20:30,9,33
TORREBLANCA_2030_2100,54514,TORREBLANCA,MÁLAGA,20:30 - 21:00,7,12
TORREBLANCA_2100_2130,54514,TORREBLANCA,MÁLAGA,21:00 - 21:30,8,17
TORREBLANCA_2130_2200,54514,TORREBLANCA,MÁLAGA,21:30 - 22:00,3,12
TORREBLANCA_2200_2230,54514,TORREBLANCA,MÁLAGA,22:00 - 22:30,0,19
TORREBLANCA_2230_2300,54514,TORREBLANCA,MÁLAGA,22:30 - 23:00,2,15
TORREBLANCA_2300_2330,54514,TORREBLANCA,MÁLAGA,23:00 - 23:30,2,4
TORREBLANCA_2330_0000,54514,TORREBLANCA,MÁLAGA,23:30 - 00:00,2,5
LOS_BOLICHES_0000_0030,54515,LOS BOLICHES,MÁLAGA,00:00 - 00:30,7,13
LOS_BOLICHES_0600_0630,54515,LOS BOLICHES,MÁLAGA,06:00 - 06:30,8,1
LOS_BOLICHES_0630_0700,54515,LOS BOLICHES,MÁLAGA,06:30 - 07:00,19,1
LOS_BOLICHES_0700_0730,54515,LOS BOLICHES,MÁLAGA,07:00 - 07:30,26,9
LOS_BOLICHES_0730_0800,54515,LOS BOLICHES,MÁLAGA,07:30 - 08:00,30,21
LOS_BOLICHES_0800_0830,54515,LOS BOLICHES,MÁLAGA,08:00 - 08:30,52,20
LOS_BOLICHES_0830_0900,54515,LOS BOLICHES,MÁLAGA,08:30 - 09:00,27,54
LOS_BOLICHES_0900_0930,54515,LOS BOLICHES,MÁLAGA,09:00 - 09:30,58,16
LOS_BOLICHES_0930_1000,54515,LOS BOLICHES,MÁLAGA,09:30 - 10:00,22,54
LOS_BOLICHES_1000_1030,54515,LOS BOLICHES,MÁLAGA,10:00 - 10:30,65,62
LOS_BOLICHES_1030_1100,54515,LOS BOLICHES,MÁLAGA,10:30 - 11:00,40,114
LOS_BOLICHES_1100_1130,54515,LOS BOLICHES,MÁLAGA,11:00 - 11:30,50,29
LOS_BOLICHES_1130_1200,54515,LOS BOLICHES,MÁLAGA,11:30 - 12:00,30,77
LOS_BOLICHES_1200_1230,54515,LOS BOLICHES,MÁLAGA,12:00 - 12:30,78,62
LOS_BOLICHES_1230_1300,54515,LOS BOLICHES,MÁLAGA,12:30 - 13:00,38,43
LOS_BOLICHES_1300_1330,54515,LOS BOLICHES,MÁLAGA,13:00 - 13:30,77,22
LOS_BOLICHES_1330_1400,54515,LOS BOLICHES,MÁLAGA,13:30 - 14:00,46,55
LOS_BOLICHES_1400_1430,54515,LOS BOLICHES,MÁLAGA,14:00 - 14:30,108,59
LOS_BOLICHES_1430_1500,54515,LOS BOLICHES,MÁLAGA,14:30 - 15:00,39,75
LOS_BOLICHES_1500_1530,54515,LOS BOLICHES,MÁLAGA,15:00 - 15:30,69,52
LOS_BOLICHES_1530_1600,54515,LOS BOLICHES,MÁLAGA,15:30 - 16:00,32,82
LOS_BOLICHES_1600_1630,54515,LOS BOLICHES,MÁLAGA,16:00 - 16:30,63,44
LOS_BOLICHES_1630_1700,54515,LOS BOLICHES,MÁLAGA,16:30 - 17:00,42,65
LOS_BOLICHES_1700_1730,54515,LOS BOLICHES,MÁLAGA,17:00 - 17:30,59,43
LOS_BOLICHES_1730_1800,54515,LOS BOLICHES,MÁLAGA,17:30 - 18:00,33,54
LOS_BOLICHES_1800_1830,54515,LOS BOLICHES,MÁLAGA,18:00 - 18:30,59,29
LOS_BOLICHES_1830_1900,54515,LOS BOLICHES,MÁLAGA,18:30 - 19:00,24,64
LOS_BOLICHES_1900_1930,54515,LOS BOLICHES,MÁLAGA,19:00 - 19:30,48,25
